firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,avvo_rating,google_rating,firm_type,status
CA-000000,Smith & Johnson Law Group,San Francisco,San Francisco,CA,Corporate Law; Business Formation,1970,1,(510) 555-1000,https://smithandjohnsonlawgroup.com,California Secretary of State + State Bar Aggregation,7.5,4.0,Solo Practice,ACTIVE
CA-000001,Jones Attorneys,San Francisco,San Francisco,CA,Intellectual Property; Patent Law,1971,18,(650) 555-1001,https://jonesattorneys.com,California Secretary of State + State Bar Aggregation,7.6,4.1,Mid-Size (11-50),ACTIVE
CA-000002,The Rodriguez Associates,San Francisco,San Francisco,CA,Litigation; Civil Litigation; Trial Law,1972,3,(909) 555-1002,https://therodriguezassociates.com,California Secretary of State + State Bar Aggregation,7.7,4.2,Boutique,ACTIVE
CA-000003,"Gonzalez, Jackson & Adams",San Francisco,San Francisco,CA,Employment Law; HR Compliance,1973,6,(619) 555-1003,https://gonzalezjacksonandadams.com,California Secretary of State + State Bar Aggregation,7.8,4.3,Small Firm (2-10),ACTIVE
CA-000004,Anderson-Green PLLC,San Francisco,San Francisco,CA,Real Estate; Property Law,1974,113,(949) 555-1004,https://andersongreenpllc.com,California Secretary of State + State Bar Aggregation,7.9,4.4,Large (50-200),ACTIVE
CA-000005,White & Campbell Partners,San Francisco,San Francisco,CA,Family Law; Divorce; Custody,1975,1,(562) 555-1005,https://whiteandcampbellpartners.com,California Secretary of State + State Bar Aggregation,8.0,4.5,Solo Practice,ACTIVE
CA-000006,Young LLP,San Francisco,San Francisco,CA,Criminal Law; White Collar Crime,1976,25,(323) 555-1006,https://youngllp.com,California Secretary of State + State Bar Aggregation,8.1,4.6,Mid-Size (11-50),ACTIVE
CA-000007,The Carter Legal,San Francisco,San Francisco,CA,Immigration Law; Visa Matters,1977,5,(661) 555-1007,https://thecarterlegal.com,California Secretary of State + State Bar Aggregation,8.2,4.7,Boutique,ACTIVE
CA-000008,"Parker, Williams & Jackson",San Francisco,San Francisco,CA,Bankruptcy; Debt Relief,1978,3,(831) 555-1008,https://parkerwilliamsandjackson.com,California Secretary of State + State Bar Aggregation,8.3,4.8,Small Firm (2-10),ACTIVE
CA-000009,Reeves-Rodriguez Law Firm,San Francisco,San Francisco,CA,Environmental Law; Compliance,1979,190,(415) 555-1009,https://reevesrodriguezlawfirm.com,California Secretary of State + State Bar Aggregation,8.4,4.9,Large (50-200),ACTIVE
