firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,firm_type,status
OH-000000,Lee LLC,Mansfield,Richland,OH,Product Liability; Corporate Law; Nonprofit Law,1965,107,(380) 505-2063,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000001,Taylor LLP,Dayton,Montgomery,OH,Trusts; Property Law; Civil Litigation; Business Formation,2021,43,(513) 846-8090,https://5yt02nru21.law,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000002,"Martin, Smith & Taylor",Sandusky,Erie,OH,Tax Law; Workers Compensation; Healthcare Law,1988,140,(937) 654-4752,https://432zt7.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000003,Rogers Partners,Wooster,Wayne,OH,Environmental Law; Compliance; Workers Compensation; Contract Law,1976,114,(330) 971-7596,https://04j4u3sybt.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000004,"Bennett, Harris & Taylor",Worthington,Franklin,OH,Divorce; Civil Litigation; White Collar Crime,2013,167,(740) 320-9090,https://06a2zv.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000005,"Ortiz, Peterson & Garcia",Lorain,Lorain,OH,Nonprofit Law; HR Compliance,2017,164,(614) 480-7390,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000006,"Edwards, Taylor & Garcia",Worthington,Franklin,OH,Intellectual Property; Immigration Law,2003,31,(614) 651-4271,,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000007,Stewart LLC,Steubenville,Jefferson,OH,Bankruptcy; Custody; Trial Law,1964,154,(380) 872-7287,https://g9s5pcgmt6.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000008,Torres PLLC,Blendon,Franklin,OH,Probate,2015,223,(937) 696-1542,https://lqftl83l.lawyers,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000009,"Williams, Clark & Medina",Xenia,Greene,OH,Intellectual Property,1965,71,(740) 211-5530,https://f5qt4.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000010,"Lindsey, Lopez & Bowman",Kettering,Montgomery,OH,Litigation; Criminal Law,2007,171,(216) 790-9388,https://3632l.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000011,"Gonzalez, Bowman & Morgan",Zanesville,Muskingum,OH,Traffic Law; Probate; Nonprofit Law; Construction Law,2000,101,(216) 249-5453,https://9crju0mx7.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000012,Gutierrez Legal Services,Akron,Summit,OH,Construction Law; Administrative Law,1970,238,(937) 993-7803,https://w7fef162.attorney,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000013,"Murphy, Morris & Peterson",Trotwood,Montgomery,OH,Employment Law; Trusts,1996,149,(380) 669-7682,https://qbdnl.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000014,Shaffer & King Legal Services,Cincinnati,Hamilton,OH,Property Law; Patent Law; Administrative Law; Intellectual Property,2011,30,(380) 967-1696,https://pkwrltv4hb.lawyers,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000015,"Shaffer, Anderson & Davis",Blendon,Franklin,OH,Bankruptcy; Real Estate; DUI Defense; Environmental Law,2018,85,(380) 682-2042,https://kgo3sv9tjc.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000016,Edwards Law Group,Marion,Marion,OH,Product Liability,2007,27,(380) 840-4410,https://tlwiugw37.legal,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000017,Moore Associates,Elyria,Lorain,OH,Patent Law; Employment Law,1996,88,(330) 579-8008,https://fmy7lv64.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000018,Thomas Law Group,Ashland,Ashland,OH,Contract Law; Real Estate,1968,173,(567) 638-3698,https://f882pswgtq.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000019,Howell & Harris PLLC,Akron,Summit,OH,Traffic Law; Commercial Law; Energy Law,2010,236,(330) 232-7772,https://873yq2p2nx.lawyers,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000020,"Gonzalez, Lee & Phillips",Youngstown,Mahoning,OH,Medical Malpractice; Corporate Law; Compliance,1990,157,(740) 781-3483,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000021,"Howell, Martin & Wilson",Euclid,Cuyahoga,OH,HR Compliance; Property Law; Trial Law; Securities Law,1998,200,(937) 943-8860,https://t4tp7skzwv.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000022,Bowman Partners,Newark,Licking,OH,Family Law; Property Law; Estate Planning,1977,158,(567) 833-5759,https://qrpxsy.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000023,"Scott, Hall & Young",Canton,Stark,OH,Administrative Law,1969,196,(614) 237-4681,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000024,Sutton Legal Group,Lakewood,Cuyahoga,OH,Securities Law; Administrative Law; Bankruptcy; Family Law,2011,200,(440) 837-6134,https://020tf2.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000025,Edwards & Phillips Law Group,Trotwood,Montgomery,OH,Securities Law; Family Law,1967,240,(330) 875-9680,https://iipno0.lawyers,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000026,"Thomas, Gutierrez & Ortiz",Findlay,Hancock,OH,White Collar Crime,2017,79,(513) 593-9314,https://by3iylz.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000027,"Martinez, Valdez & Hall",Huber Heights,Montgomery,OH,White Collar Crime; Commercial Law,1980,51,(440) 749-4749,https://q57bcwqvy.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000028,"Mathis, Torres & Ortiz",Cleveland,Cuyahoga,OH,Probate; Administrative Law; Commercial Law; Nonprofit Law,1978,125,(740) 936-9866,https://qauil.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000029,Walker Law Group,Sandusky,Erie,OH,Energy Law,1976,148,(567) 915-3774,https://5mxjs5x5.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000030,"Mathis, Murphy & Hernandez",Marietta,Washington,OH,Patent Law; Energy Law; White Collar Crime,1983,115,(380) 502-1634,https://0hc2l02lh.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000031,"Harris, Harris & Lindsey",Cincinnati,Hamilton,OH,Custody,2015,56,(740) 476-5630,https://myqoa536gm.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000032,Lee & Moore PLLC,Lakewood,Cuyahoga,OH,Visa Matters; Patent Law; Trial Law; Traffic Law,1987,237,(440) 616-4680,https://diiotmuhk.lawyers,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000033,Williams Legal Group,Zanesville,Muskingum,OH,Debt Relief; Intellectual Property; Nonprofit Law,2019,13,(419) 641-9024,https://2zdzlyec9.law,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000034,Peterson Counsel,Warren,Trumbull,OH,Trusts; Insurance Law; Patent Law; Nonprofit Law,2003,243,(419) 883-8695,https://w7oj7hv99.attorney,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000035,Martinez Associates,Sandusky,Erie,OH,Family Law; Medical Malpractice; Immigration Law,2004,3,(440) 285-8356,https://jl4mfxj.attorney,Ohio State Bar Public Directory,Small Firm (2-10),ACTIVE
